Gene	LK1	LK2	LK3	LK4	LK5	LK6
ABCA6	4.5849872860000005	4.439434697	4.45971691	4.433496602	4.491161033	4.426134423
ABCA7	10.10819929	9.646028273999999	9.879540417000001	10.13100639	9.969873861	10.22468149
ABCA8	4.456023933	4.948553865	4.633172851	4.471216986	4.437046498	4.382662809
ABCA9	4.615303999	4.673738488	4.924573198	4.803010145	4.673738488	4.633172851
ABCB1	4.311192595	4.276225663	4.39491136	4.357383702	4.406788022	4.322875805
ABCB10	4.436647932	4.488906128	4.648428215	4.630691305	4.4513706189999995	4.519270685
ABCB11	4.548335207	4.41817469	4.352284432	4.346559095	4.34714286	4.416507003
ABCB4	11.15031661	10.60046772	11.08976298	9.968806496000001	10.96668956	10.17153799
ABCB5	4.4246055239999995	4.414462392	4.496884564	4.515339526	4.37902152	4.345692098
ABCB6	8.417347764	8.212319821	8.414954513	7.869112812000001	8.452194693	7.761531507000001
ABCB7	9.634911521	9.351797694	9.629624428	9.570261214	9.532699168999999	9.292640739
ABCB8	8.57313098	8.514077667999999	8.486253267999999	8.388757965	8.712574114	8.690686085
ABCB9	6.007436895	6.096392273999999	6.31554882	5.728511214	6.155771592000001	5.931867481
ABCC1	4.450544289	4.517984529	4.416507003	4.419875786	4.432659061	4.476671631
ABCC10	5.847753301	5.178669426	5.958208012	5.604036903	5.763654745	5.690286406
ABCC12	4.320666075	4.292399133	4.310577425	4.318273492	4.367181523999999	4.273503761000001
ABCC2	4.436647932	4.537195853	4.670780388	4.539976198	4.68733492	4.716443008
ABCC3	4.4202146760000005	4.344108128999999	4.3989320030000005	4.455715946000001	4.618165758	4.2128325239999995
ABCC4	9.582246188	9.474173112	9.640164241	9.565429686	9.453350278	9.699147939
ABCC5	8.039633941	7.631276747	7.99998328	7.662647251	7.716113169	7.302383334
ABCC6	4.42922076	4.524117588	4.703827356000001	4.598448918	4.792588471	4.751609182
ABCC8	4.415566059	4.503693254	4.547302845	4.433496602	4.419121688	4.469059306
ABCC9	4.545010853	4.471216986	4.416507003	4.711060219	4.478488489	4.716443008
ABCD1	8.646922982000001	8.732213902	8.647282845	8.903948205	8.653222592	9.123208436
ABCD2	5.931473557	6.1539155260000005	6.025727057999999	6.329219973	6.050968597000001	6.676150317
ABCD3	10.10415802	9.648883987	10.01681576	9.707411535	9.880344267	9.609150167000001
ABCD4	5.74574398	5.4194166489999995	5.690169986	5.526758494	5.66920102	5.627910537000001
ABCE1	8.033498437	7.900823746	7.9676894979999995	7.657535446	7.6106338739999995	7.631519282
ABCF1	11.68563084	11.3757845	11.82345894	11.518143499999999	11.68324921	11.60007413
ABCF2	11.26358046	11.24704555	11.50621932	11.20788698	11.367931800000001	11.17597386
ABCF3	9.568948006	9.420796137	9.610042741	9.416421836	9.347651705	9.501068272000001
ABCG1	6.005941039	5.140508652	6.102878775	5.858356865	5.719419157999999	6.237233323
ABCG2	4.38316565	4.37902152	4.352284432	4.3398421460000005	4.317457007	4.363054932
ABCG4	8.827915433	7.807872437	8.928879657000001	7.226945496	8.548585741	7.437935402999999
ABCG5	4.823998519	4.375265885	4.432133696	4.425185138	4.4882389289999995	4.479306897
ABCG8	4.320666075	4.395437785	4.370598422	4.353456977	4.320533052	4.485527552
ABHD10	5.529882872000001	5.05872034	5.647566641	5.65402042	5.4689351539999995	5.636386429
ABHD11	10.52280745	10.65835018	10.52086127	10.41774392	10.38082759	10.49982633
ABHD12	7.108493439	7.404193823	7.0889334260000005	7.00876885	6.927248972999999	7.323553515
ABHD13	4.783226341000001	4.517984529	4.5205060889999995	4.426517487	4.728246525	4.382662809
ABHD14A	7.167472002999999	6.982864693	7.226784979	6.958614962	7.274311674	6.988934957000001
ABHD14B	9.160809371000001	9.236445659	9.287561254	9.509059812	9.32962153	9.246931441000001
ABHD2	5.505531107	5.961298654	5.823551605	6.0517843529999995	6.016564499999999	5.997592827
ABHD3	4.476223469	4.8876603880000005	4.7888901	4.772962043	4.680446421	4.479306897
ABHD4	8.65432705	8.73467135	8.837145482	8.76032198	9.006785254	8.788898936
ABHD5	7.874860681	7.794559044	8.010931042000001	7.967257196	7.824992883999999	7.901402134
ABHD6	4.7185905539999995	4.437046498	4.656074138999999	4.581180113	4.823998519	4.55191245
ABHD8	7.806154537	7.885169829	7.984045463999999	8.0889933	8.14428197	8.068023327999999
ABI1	10.53240174	10.23186761	10.32518967	10.48340135	10.25848402	10.30905133
ABI2	8.860844988	8.661292486	8.907457642999999	9.111280106	8.95382405	8.819051921
ABI3	6.742381748	7.456740722999999	7.136618985	8.136591474	7.700245726	7.691722816
ABL1	5.500378715	4.8734525380000004	4.639263483	5.508437446	4.784921809	4.793626613
ABL2	4.342677007	4.344108128999999	4.414462392	4.323659721	4.3398421460000005	4.231004021
ABLIM1	4.438896958	4.52039177	4.491746303	4.485976139	4.63606671	5.231945098
ABLIM2	4.441215007	4.389186821	4.438239338	4.367117273	4.517581261	4.433322485
ABLIM3	4.4943602	4.446268437	4.45971691	4.39076734	4.4464670139999996	4.39491136
ABO	4.460748693999999	4.361510449	4.585518908	4.585518908	4.604012494	4.767667847
ABR	7.821675353	7.595546176	7.880483707000001	8.227180461	7.966488339	8.756740997
ABRA	4.606708176000001	4.247880133	4.30860642	4.336758869	4.2852992069999996	4.355120261000001
ABT1	4.533701866	4.539955257	4.4666844139999995	4.621596404	4.62618776	4.414462392
ABTB1	8.002657706	8.217418311	8.175160454	8.141453397000001	8.17713479	8.101128445
ABTB2	4.361376914	4.288217293	4.416507003	4.534108313	4.367181523999999	4.36494371
ACAA1	10.80265532	11.06796448	11.17500687	11.04106957	11.12255649	11.14568618
ACAA2	9.965046446	10.1223065	9.808141588	9.865831766	10.05143151	9.600310086
ACACB	4.483975248	4.646330838	4.598448918	4.73918351	4.528778717	4.6937720060000006
ACAD10	6.30220401	6.328472164	6.428659439	5.923574166	6.110554572000001	5.903031339
ACAD8	7.416702117000001	7.73093109	7.369062477000001	7.2813229989999995	7.500984182000001	7.552966441000001
ACAD9	8.620758794	8.551120042	8.576189667000001	8.510686509	8.663013773	8.566518493
ACADL	8.567469518	9.179341932	8.483031215	8.805908926	8.43593565	8.7769167
ACADM	11.12146145	11.1218769	11.1858389	11.1649836	11.05397386	11.10448215
ACADS	9.318319553	9.171263214	9.170293225	8.991950339	9.054098777	9.225220372999999
ACADSB	7.587317729	7.569010242999999	7.420215977000001	7.8385286910000005	7.503239	7.73750898
ACADVL	10.16951422	9.587928182999999	9.858546302	9.866179617	9.823574817999999	9.596774357000001
ACAP2	4.502894523	4.903063568	4.782212737	4.532351375	4.590987828	5.801314099
ACAP3	8.30216838	8.257531004	8.581314962	8.321989858	8.405483441	8.471392201
ACAT1	4.929261737	5.006137184	4.648428215	4.702824673	4.584439615	4.755523879
ACAT2	9.050430137000001	9.038910852	9.071700199	9.034653264	9.07024718	8.992410714
ACAT2	4.8533949210000005	4.715486235	4.8812575439999994	4.720569047	5.12599048	4.755523879
ACBD3	8.660059614	8.857297936	9.112496935	9.146338369	8.92712717	9.049545551
ACBD4	7.5389418720000005	7.209952371	7.559991641	7.487883165	7.69305966	7.469956773
ACBD5	4.302029077	4.493900625	4.32964341	4.292286966	4.528778717	4.433322485
ACBD6	9.543316141	9.62478242	9.515989596	9.399209268	9.488445115	9.385244862999999
ACBD7	4.363054932	4.361510449	4.380996103	4.31329021	4.404980364	4.292399133
ACCS	7.711761256	7.851574365	7.871476316	7.931113925	7.956552531	8.069098124
ACD	11.2999313	11.2963601	11.18656124	11.16832552	11.22165078	11.08392605
ACE	4.768336269	4.764068513	4.961352495	4.649616501000001	4.548833121	4.852708365
ACE2	4.43408664	4.41817469	4.380996103	4.370439942	4.645484881000001	4.401231019
ACHE	5.847753301	4.808993882	5.482264269	4.891953572	5.628275146	4.583884341
ACIN1	8.006870416	8.094501939	7.878645856	8.386137111	8.353133736	8.427824174
ACLY	11.9964695	11.89634074	11.98199426	12.00462031	11.99420799	12.12743457
ACMSD	5.459431727999999	4.8734525380000004	4.509718217	4.670985912	4.680446421	4.674437305
ACO1	6.845714171	6.57019017	7.136618985	6.679966072999999	6.811497144	6.898011187000001
ACO2	10.8350085	10.62652009	11.08714591	10.81548766	10.94143064	10.95641031
ACOT1	4.441215007	4.453435604	4.526547255	4.395437785	4.388890728	4.440217944
ACOT11	6.901585357999999	6.065850309	6.55569398	6.7130592689999995	6.575116142000001	6.929765751000001
ACOT12	4.450544289	4.608228937	4.562825223	4.373121063	4.666425536	4.852708365
ACOT2	5.031893882	5.042673115	5.148409228999999	5.2096592919999996	5.458066597	5.41269277
ACOT4	4.4246055239999995	4.334407464	4.3234190969999995	4.406814348999999	4.302043982	4.34757965
ACOT7	11.88307805	12.04181212	12.09884261	12.34332603	12.0589913	12.30499923
ACOT8	9.693764899	9.860241777	9.823873315	9.860435788	9.894067983	9.759078749
ACOT9	5.221851752	5.6930725120000005	5.777848777999999	5.761330962000001	5.3169554130000005	5.601189668
ACOT9	9.098243645	9.562204956	8.878016262000001	9.308313316	8.849513109	9.31621824
ACOX1	4.536196616000001	4.414462392	4.38302127	4.438547841	4.3398421460000005	4.485527552
ACOX2	5.427784848	5.3434501569999995	5.02181433	4.859000184	4.966554004	5.546141269
ACOX3	6.912554461	6.530360032999999	7.333203362999999	7.133197364	7.147641142	7.683441713
ACOXL	4.4246055239999995	4.437046498	4.556815661	4.450544289	4.528778717	4.426134423
ACP1	8.444623035	8.378318123	8.421456293	7.946011632	8.374227577000001	8.032029374
ACP2	8.274092497	7.844164042999999	7.852927072000001	7.722445757999999	8.030742716	7.715827262
ACP3	4.481516011	4.572329948999999	4.549609878	4.795137035	4.68733492	4.490666033
ACP6	9.636437987999999	9.869454322000001	9.587928182999999	9.567522693999999	9.589083755	9.747950199
ACR	4.377054056	4.361510449	4.598448918	4.374777443	4.503591076	4.456019832
ACRBP	5.217438904	4.686923951	4.975892391	5.100361627	5.0030423630000005	4.894741178
ACRV1	4.415566059	4.381168163	4.3187328769999995	4.314429403	4.306928657	4.308375078
ACSBG1	4.453435604	4.375265885	4.39076734	4.419875786	4.663422229	4.4639233439999995
ACSBG2	4.42922076	4.395437785	4.407503275	4.483584744	4.517581261	4.499175543
ACSF3	7.843274335	7.862050654	7.859619884	7.75764802	7.969705197000001	7.77399874
ACSL1	8.742846773	8.507155193	8.86760421	8.402466522000001	8.799730712999999	8.247359656
ACSL3	8.192154867000001	8.080757313	8.025238506	8.151128362	8.138939184	7.836084237000001
ACSL4	6.386673621	6.435134618999999	6.389902926	6.355592532999999	6.464973699	6.2839596
ACSL5	12.84512679	12.64168985	12.85153864	12.66668937	12.7458785	12.3837326
ACSL6	8.10419004	7.615117322000001	8.050013859	6.6403225489999995	7.968649706	6.361453197
ACSM1	4.4681898769999995	4.453435604	4.4098683780000005	4.445855758	4.412801029	4.536196616000001
ACSM2A	4.368852606	4.314429403	4.29543711	4.239489079	4.386685091	4.445855758
ACSM3	4.722458927	4.756826274	5.546269907	4.998766216	4.43467505	4.7424298060000005
ACSM4	4.486212095	4.331130216	4.602071329	4.563600457	4.522894607	4.51589805
ACSM5	4.595413693999999	4.44383412	4.372839815	4.497749433	4.386685091	5.006708041
ACSS1	11.4936205	11.08786415	11.6332361	10.97573242	11.54577956	10.65570694
ACSS2	9.747950199	9.241757652999999	9.623921777	9.273905214	9.594272407	9.077831448
